#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
ambush;Ambush;mame0.37b5;;1983;Nippon Amuse Co-Ltd;;;;;;0;;;;;;;;;
horshoes;American Horseshoes (US);mame0.37b5;;1990;Taito America Corporation;;;;;;0;;;;;;;;;
amidar;Amidar;mame0.37b5;;1981;Konami;;;;;;0;;;;;;;;;
amidaro;Amidar (Olympia);mame0.37b5;amidar;1982;Konami (Olympia license);;;;;;0;;amidar;;;;;;;
amidars;Amidar (Scramble hardware);mame0.37b5;amidar;1982;Konami;;;;;;0;;amidar;;;;;;;
amidaru;Amidar (Stern);mame0.37b5;amidar;1982;Konami (Stern license);;;;;;0;;amidar;;;;;;;
amigo;Amigo;mame0.37b5;amidar;1982;bootleg;;;;;;0;;amidar;;;;;;;
androdun;Andro Dunos;mame0.37b5;;1992;Visco;;;;;;0;;neogeo;;;;;;;
anteater;Anteater;mame0.37b5;;1982;[Stern] (Tago license);;;;;;0;;;;;;;;;
appoooh;Appoooh;mame0.37b5;;1984;Sega;;;;;;0;;;;;;;;;
arabian;Arabian;mame0.37b5;;1983;Sun Electronics;;;;;;0;;;;;;;;;
arabiana;Arabian (Atari);mame0.37b5;arabian;1983;[Sun Electronics] (Atari license);;;;;;0;;arabian;;;;;;;
arbalest;Arbalester;mame0.37b5;;1989;Seta;;;;;;0;;;;;;;;;
arcadecl;Arcade Classics (prototype);mame0.37b5;;1992;Atari Games;;;;;;0;;;;;;;;;
archriv2;Arch Rivals (rev 2.0);mame0.37b5;archrivl;1989;Bally Midway;;;;;;0;;archrivl;;;;;;;
archrivl;Arch Rivals (rev 4.0);mame0.37b5;;1989;Bally Midway;;;;;;0;;;;;;;;;
area88;Area 88 (Japan);mame0.37b5;unsquad;1989;Capcom;;;;;;0;;unsquad;;;;;;;
rygarj;Argus no Senshi (Japan);mame0.37b5;rygar;1986;Tecmo;;;;;;0;;rygar;;;;;;;
arkarea;Ark Area;mame0.37b5;;;UPL;;;;;;0;;;;;;;;;
arkangc;Arkanoid (Game Corporation bootleg);mame0.37b5;arkanoid;1986;bootleg;;;;;;0;;arkanoid;;;;;;;
arknoidj;Arkanoid (Japan);mame0.37b5;arkanoid;1986;Taito Corporation;;;;;;0;;arkanoid;;;;;;;
arkbl2;Arkanoid (Japanese bootleg Set 2);mame0.37b5;arkanoid;1986;bootleg;;;;;;0;;arkanoid;;;;;;;
arkatayt;Arkanoid (Tayto bootleg, Japanese);mame0.37b5;arkanoid;1986;bootleg;;;;;;0;;arkanoid;;;;;;;
arknoidu;Arkanoid (US);mame0.37b5;arkanoid;1986;Taito America Corporation (Romstar license);;;;;;0;;arkanoid;;;;;;;
arkanoid;Arkanoid (World);mame0.37b5;;1986;Taito Corporation Japan;;;;;;0;;;;;;;;;
ark2jp;Arkanoid - Revenge of DOH (Japan);mame0.37b5;arkanoi2;1987;Taito Corporation;;;;;;0;;arkanoi2;;;;;;;
ark2us;Arkanoid - Revenge of DOH (US);mame0.37b5;arkanoi2;1987;Taito America Corporation (Romstar license);;;;;;0;;arkanoi2;;;;;;;
arkanoi2;Arkanoid - Revenge of DOH (World);mame0.37b5;;1987;Taito Corporation Japan;;;;;;0;;;;;;;;;
armwrest;Arm Wrestling;mame0.37b5;;1985;Nintendo;;;;;;0;;;;;;;;;
armedf;Armed Formation;mame0.37b5;;1988;Nichibutsu;;;;;;0;;;;;;;;;
armora;Armor Attack;mame0.37b5;;1980;Cinematronics;;;;;;0;;;;;;;;;
armorcar;Armored Car (set 1);mame0.37b5;;1981;Stern;;;;;;0;;;;;;;;;
armorca2;Armored Car (set 2);mame0.37b5;armorcar;1981;Stern;;;;;;0;;armorcar;;;;;;;
aof;Art of Fighting / Ryuuko no Ken;mame0.37b5;;1992;SNK;;;;;;0;;neogeo;;;;;;;
aof2;Art of Fighting 2 / Ryuuko no Ken 2;mame0.37b5;;1994;SNK;;;;;;0;;neogeo;;;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;mame0.37b5;;1996;SNK;;;;;;0;;neogeo;;;;;;;
ashura;Ashura Blaster (Japan);mame0.37b5;;1990;Taito Corporation;;;;;;0;;;;;;;;;
ashurau;Ashura Blaster (US);mame0.37b5;ashura;1990;Taito America Corporation;;;;;;0;;ashura;;;;;;;
assault;Assault;mame0.37b5;;1988;Namco;;;;;;0;;;;;;;;;
assaultj;Assault (Japan);mame0.37b5;assault;1988;Namco;;;;;;0;;assault;;;;;;;
assaultp;Assault Plus (Japan);mame0.37b5;assault;1988;Namco;;;;;;0;;assault;;;;;;;
asteroib;Asteroids (bootleg on Lunar Lander hardware);mame0.37b5;asteroid;1979;bootleg;;;;;;0;;asteroid;;;;;;;
asteroi1;Asteroids (rev 1);mame0.37b5;asteroid;1979;Atari;;;;;;0;;asteroid;;;;;;;
asteroid;Asteroids (rev 2);mame0.37b5;;1979;Atari;;;;;;0;;;;;;;;;
astdelu1;Asteroids Deluxe (rev 1);mame0.37b5;astdelux;1980;Atari;;;;;;0;;astdelux;;;;;;;
astdelux;Asteroids Deluxe (rev 2);mame0.37b5;;1980;Atari;;;;;;0;;;;;;;;;
astrob1;Astro Blaster (version 1);mame0.37b5;astrob;1981;Sega;;;;;;0;;astrob;;;;;;;
astrob2;Astro Blaster (version 2);mame0.37b5;astrob;1981;Sega;;;;;;0;;astrob;;;;;;;
astrob;Astro Blaster (version 3);mame0.37b5;;1981;Sega;;;;;;0;;;;;;;;;
astrof;Astro Fighter (set 1);mame0.37b5;;1980;Data East;;;;;;0;;;;;;;;;
astrof2;Astro Fighter (set 2);mame0.37b5;astrof;1980;Data East;;;;;;0;;astrof;;;;;;;
astrof3;Astro Fighter (set 3);mame0.37b5;astrof;1980;Data East;;;;;;0;;astrof;;;;;;;
astinvad;Astro Invader;mame0.37b5;;1980;Stern;;;;;;0;;;;;;;;;
abaseb;Atari Baseball (set 1);mame0.37b5;;1979;Atari;;;;;;0;;;;;;;;;
abaseb2;Atari Baseball (set 2);mame0.37b5;abaseb;1979;Atari;;;;;;0;;abaseb;;;;;;;
atarifb4;Atari Football (4 players);mame0.37b5;atarifb;1979;Atari;;;;;;0;;atarifb;;;;;;;
atarifb1;Atari Football (revision 1);mame0.37b5;atarifb;1978;Atari;;;;;;0;;atarifb;;;;;;;
atarifb;Atari Football (revision 2);mame0.37b5;;1978;Atari;;;;;;0;;;;;;;;;
soccer;Atari Soccer;mame0.37b5;;;Atari;;;;;;0;;;;;;;;;
ataxxj;Ataxx (Japan);mame0.37b5;ataxx;1990;Leland Corp.;;;;;;0;;ataxx;;;;;;;
ataxx;Ataxx (set 1);mame0.37b5;;1990;Leland Corp.;;;;;;0;;;;;;;;;
ataxxa;Ataxx (set 2);mame0.37b5;ataxx;1990;Leland Corp.;;;;;;0;;ataxx;;;;;;;
athena;Athena;mame0.37b5;;1986;SNK;;;;;;0;;;;;;;;;
atomicp;Atomic Point;mame0.37b5;;1990;Philko;;;;;;0;;;;;;;;;
aurail;Aurail (set 1);mame0.37b5;;1990;Sega / Westone;;;;;;0;;;;;;;;;
auraila;Aurail (set 2);mame0.37b5;aurail;1990;Sega / Westone;;;;;;0;;aurail;;;;;;;
avalnche;Avalanche;mame0.37b5;;1978;Atari;;;;;;0;;;;;;;;;
avengers;Avengers (set 1);mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
avenger2;Avengers (set 2);mame0.37b5;avengers;1987;Capcom;;;;;;0;;avengers;;;;;;;
avspirit;Avenging Spirit;mame0.37b5;;1991;Jaleco;;;;;;0;;;;;;;;;
aztarac;Aztarac;mame0.37b5;;1983;Centuri;;;;;;0;;;;;;;;;
azurian;Azurian Attack;mame0.37b5;;1982;Rait Electronics Ltd;;;;;;0;;;;;;;;;
baddudes;Bad Dudes vs. Dragonninja (US);mame0.37b5;;1988;Data East USA;;;;;;0;;;;;;;;;
badlands;Bad Lands;mame0.37b5;;1989;Atari Games;;;;;;0;;;;;;;;;
bagman;Bagman;mame0.37b5;;1982;Valadon Automation;;;;;;0;;;;;;;;;
bagmans;Bagman (Stern set 1);mame0.37b5;bagman;1982;Valadon Automation (Stern license);;;;;;0;;bagman;;;;;;;
bagmans2;Bagman (Stern set 2);mame0.37b5;bagman;1982;Valadon Automation (Stern license);;;;;;0;;bagman;;;;;;;
bakatono;Bakatonosama Mahjong Manyuki;mame0.37b5;;1991;Monolith Corp.;;;;;;0;;neogeo;;;;;;;
ballbomb;Balloon Bomber;mame0.37b5;;1980;Taito;;;;;;0;;;;;;;;;
baluba;Baluba-louk no Densetsu;mame0.37b5;;1986;Able Corp, Ltd.;;;;;;0;;;;;;;;;
bandido;Bandido;mame0.37b5;sheriff;1980;Exidy;;;;;;0;;sheriff;;;;;;;
bankp;Bank Panic;mame0.37b5;;1984;Sega;;;;;;0;;;;;;;;;
baraduke;Baraduke;mame0.37b5;;1985;Namco;;;;;;0;;;;;;;;;
barrier;Barrier;mame0.37b5;;1979;Vectorbeam;;;;;;0;;;;;;;;;
bstars2;Baseball Stars 2;mame0.37b5;;1992;SNK;;;;;;0;;neogeo;;;;;;;
bstars;Baseball Stars Professional;mame0.37b5;;1990;SNK;;;;;;0;;neogeo;;;;;;;
basebal2;Baseball The Season II;mame0.37b5;;1987;Cinematronics;;;;;;0;;;;;;;;;
bsktball;Basketball;mame0.37b5;;1979;Atari;;;;;;0;;;;;;;;;
batman;Batman;mame0.37b5;;1991;Atari Games;;;;;;0;;;;;;;;;
batsugun;Batsugun;mame0.37b5;;1993;Toaplan;;;;;;0;;;;;;;;;
battlnts;Battlantis;mame0.37b5;;1987;Konami;;;;;;0;;;;;;;;;
battlntj;Battlantis (Japan);mame0.37b5;battlnts;1987;Konami;;;;;;0;;battlnts;;;;;;;
bchopper;Battle Chopper;mame0.37b5;;1987;Irem;;;;;;0;;;;;;;;;
btlfield;Battle Field (Japan);mame0.37b5;timesold;1987;SNK;;;;;;0;;timesold;;;;;;;
flipshot;Battle Flip Shot;mame0.37b5;;1998;Visco;;;;;;0;;neogeo;;;;;;;
battlane;Battle Lane Vol. 5 (set 1);mame0.37b5;;1986;Technos (Taito license);;;;;;0;;;;;;;;;
battlan2;Battle Lane Vol. 5 (set 2);mame0.37b5;battlane;1986;Technos (Taito license);;;;;;0;;battlane;;;;;;;
battlan3;Battle Lane Vol. 5 (set 3);mame0.37b5;battlane;1986;Technos (Taito license);;;;;;0;;battlane;;;;;;;
battlera;Battle Rangers (World);mame0.37b5;;1988;Data East Corporation;;;;;;0;;;;;;;;;
bzone;Battle Zone (set 1);mame0.37b5;;1980;Atari;;;;;;0;;;;;;;;;
bzone2;Battle Zone (set 2);mame0.37b5;bzone;1980;Atari;;;;;;0;;bzone;;;;;;;
atlantis;Battle of Atlantis (set 1);mame0.37b5;;1981;Comsoft;;;;;;0;;;;;;;;;
atlants2;Battle of Atlantis (set 2);mame0.37b5;atlantis;1981;Comsoft;;;;;;0;;atlantis;;;;;;;
bayrtbl1;Bay Route (bootleg set 1);mame0.37b5;bayroute;1989;bootleg;;;;;;0;;bayroute;;;;;;;
bayrtbl2;Bay Route (bootleg set 2);mame0.37b5;bayroute;1989;bootleg;;;;;;0;;bayroute;;;;;;;
bayroute;Bay Route (set 1);mame0.37b5;;1989;Sunsoft / Sega;;;;;;0;;;;;;;;;
bayrouta;Bay Route (set 2);mame0.37b5;bayroute;1989;Sunsoft / Sega;;;;;;0;;bayroute;;;;;;;
beastf;Beastie Feastie;mame0.37b5;theglob;1984;Epos Corporation;;;;;;0;;theglob;;;;;;;
blswhstl;Bells & Whistles;mame0.37b5;;1991;Konami;;;;;;0;;;;;;;;;
berabohm;Beraboh Man (Japan);mame0.37b5;;1988;Namco;;;;;;0;;;;;;;;;
bermudaj;Bermuda Triangle (Japan);mame0.37b5;bermudat;1987;SNK;;;;;;0;;bermudat;;;;;;;
bermudaa;Bermuda Triangle (US early version);mame0.37b5;bermudat;1987;SNK;;;;;;0;;bermudat;;;;;;;
bermudat;Bermuda Triangle (US);mame0.37b5;;1987;SNK;;;;;;0;;;;;;;;;
berzerk;Berzerk (set 1);mame0.37b5;;1980;Stern;;;;;;0;;;;;;;;;
berzerk1;Berzerk (set 2);mame0.37b5;berzerk;1980;Stern;;;;;;0;;berzerk;;;;;;;
bigstrik;Big Striker;mame0.37b5;;1992;Jaleco;;;;;;0;;;;;;;;;
bioatack;Bio Attack;mame0.37b5;;1983;Taito Corporation (Fox Video Games license);;;;;;0;;;;;;;;;
bionicc;Bionic Commando (US set 1);mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
bionicc2;Bionic Commando (US set 2);mame0.37b5;bionicc;1987;Capcom;;;;;;0;;bionicc;;;;;;;
bking2;Birdie King 2;mame0.37b5;;1983;Taito Corporation;;;;;;0;;;;;;;;;
blkdrgon;Black Dragon;mame0.37b5;blktiger;1987;Capcom;;;;;;0;;blktiger;;;;;;;
blkdrgnb;Black Dragon (bootleg);mame0.37b5;blktiger;1987;bootleg;;;;;;0;;blktiger;;;;;;;
blkhole;Black Hole;mame0.37b5;;;TDS;;;;;;0;;;;;;;;;
blktiger;Black Tiger;mame0.37b5;;1987;Capcom;;;;;;0;;;;;;;;;
bktigerb;Black Tiger (bootleg);mame0.37b5;blktiger;1987;bootleg;;;;;;0;;blktiger;;;;;;;
bwidow;Black Widow;mame0.37b5;;1982;Atari;;;;;;0;;;;;;;;;
bmaster;Blade Master (World);mame0.37b5;;1991;Irem;;;;;;0;;;;;;;;;
bladstle;Blades of Steel (version E);mame0.37b5;bladestl;1987;Konami;;;;;;0;;bladestl;;;;;;;
bladestl;Blades of Steel (version T);mame0.37b5;;1987;Konami;;;;;;0;;;;;;;;;
blandia;Blandia [Prototype];mame0.37b5;;1992;Allumer;;;;;;0;;;;;;;;;
blastoff;Blast Off (Japan);mame0.37b5;;1989;Namco;;;;;;0;;;;;;;;;
blasted;Blasted;mame0.37b5;;1988;Bally Midway;;;;;;0;;;;;;;;;
blaster;Blaster;mame0.37b5;;1983;Williams;;;;;;0;;;;;;;;;
blstroi2;Blasteroids (version 2);mame0.37b5;blstroid;1987;Atari Games;;;;;;0;;blstroid;;;;;;;
blstroid;Blasteroids (version 4);mame0.37b5;;1987;Atari Games;;;;;;0;;;;;;;;;
blsthead;Blasteroids (with heads);mame0.37b5;blstroid;1987;Atari Games;;;;;;0;;blstroid;;;;;;;
blasto;Blasto;mame0.37b5;;1978;Gremlin;;;;;;0;;;;;;;;;
blazer;Blazer (Japan);mame0.37b5;;1987;Namco;;;;;;0;;;;;;;;;
blazstar;Blazing Star;mame0.37b5;;1998;Yumekobo;;;;;;0;;neogeo;;;;;;;
arkbloc2;Block (Game Corporation bootleg);mame0.37b5;arkanoid;1986;bootleg;;;;;;0;;arkanoid;;;;;;;
blockj;Block Block (Japan);mame0.37b5;block;1991;Capcom;;;;;;0;;block;;;;;;;
block;Block Block (World);mame0.37b5;;1991;Capcom;;;;;;0;;;;;;;;;
blockbl;Block Block (bootleg);mame0.37b5;block;1991;bootleg;;;;;;0;;block;;;;;;;
blockgal;Block Gal;mame0.37b5;;1987;Sega / Vic Tokai;;;;;;0;;;;;;;;;
blckgalb;Block Gal (bootleg);mame0.37b5;blockgal;1987;bootleg;;;;;;0;;blockgal;;;;;;;
blockhl;Block Hole;mame0.37b5;;1989;Konami;;;;;;0;;;;;;;;;
blockout;Block Out (set 1);mame0.37b5;;1989;Technos + California Dreams;;;;;;0;;;;;;;;;
blckout2;Block Out (set 2);mame0.37b5;blockout;1989;Technos + California Dreams;;;;;;0;;blockout;;;;;;;
blockade;Blockade;mame0.37b5;;1976;Gremlin;;;;;;0;;;;;;;;;
blocken;Blocken (Japan);mame0.37b5;;1994;KID / Visco;;;;;;0;;;;;;;;;
bloodbro;Blood Bros.;mame0.37b5;;1990;Tad;;;;;;0;;;;;;;;;
bldwolf;Bloody Wolf (US);mame0.37b5;battlera;1988;Data East USA;;;;;;0;;battlera;;;;;;;
blueprnj;Blue Print (Jaleco);mame0.37b5;blueprnt;1982;[Zilec] Jaleco;;;;;;0;;blueprnt;;;;;;;
blueprnt;Blue Print (Midway);mame0.37b5;;1982;[Zilec] Bally Midway;;;;;;0;;;;;;;;;
blueshrk;Blue Shark;mame0.37b5;;1978;Midway;;;;;;0;;;;;;;;;
bjourney;Blue's Journey / Raguy;mame0.37b5;;1990;Alpha Denshi Co.;;;;;;0;;neogeo;;;;;;;
boblbobl;Bobble Bobble;mame0.37b5;bublbobl;1986;bootleg;;;;;;0;;bublbobl;;;;;;;
bodyslam;Body Slam;mame0.37b5;;1986;Sega;;;;;;0;;;;;;;;;
bogeyman;Bogey Manor;mame0.37b5;;;Technos Japan;;;;;;0;;;;;;;;;
bombbee;Bomb Bee;mame0.37b5;;1979;Namco;;;;;;0;;;;;;;;;
bombjack;Bomb Jack (set 1);mame0.37b5;;1984;Tehkan;;;;;;0;;;;;;;;;
bombjac2;Bomb Jack (set 2);mame0.37b5;bombjack;1984;Tehkan;;;;;;0;;bombjack;;;;;;;
bjtwin;Bombjack Twin;mame0.37b5;;1993;NMK;;;;;;0;;;;;;;;;
bootcamp;Boot Camp;mame0.37b5;combasc;1987;Konami;;;;;;0;;combasc;;;;;;;
boothill;Boot Hill;mame0.37b5;;1977;Midway;;;;;;0;;;;;;;;;
boscomd;Bosconian (Midway, new version);mame0.37b5;bosco;1981;[Namco] (Midway license);;;;;;0;;bosco;;;;;;;
boscomdo;Bosconian (Midway, old version);mame0.37b5;bosco;1981;[Namco] (Midway license);;;;;;0;;bosco;;;;;;;
bosco;Bosconian (new version);mame0.37b5;;1981;Namco;;;;;;0;;;;;;;;;
boscoo;Bosconian (old version);mame0.37b5;bosco;1981;Namco;;;;;;0;;bosco;;;;;;;
boscoo2;Bosconian (older version);mame0.37b5;bosco;1981;Namco;;;;;;0;;bosco;;;;;;;
bottom9n;Bottom of the Ninth (version N);mame0.37b5;bottom9;1989;Konami;;;;;;0;;bottom9;;;;;;;
bottom9;Bottom of the Ninth (version T);mame0.37b5;;1989;Konami;;;;;;0;;;;;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);mame0.37b5;;1990;Data East Corporation (licensed from First Star);;;;;;0;;;;;;;;;
bowlrama;Bowl-O-Rama;mame0.37b5;;1991;P & P Marketing;;;;;;0;;;;;;;;;
boxingb;Boxing Bugs;mame0.37b5;;1981;Cinematronics;;;;;;0;;;;;;;;;
brain;Brain;mame0.37b5;;1986;Coreland / Sega;;;;;;0;;;;;;;;;
brkthru;Break Thru (US);mame0.37b5;;1986;Data East USA;;;;;;0;;;;;;;;;
breakers;Breakers;mame0.37b5;;1996;Visco;;;;;;0;;neogeo;;;;;;;
breakrev;Breakers Revenge;mame0.37b5;breakers;1998;Visco;;;;;;0;;breakers;;;;;;;
breywood;Breywood (Japan revision 2);mame0.37b5;shackled;1986;Data East Corporation;;;;;;0;;shackled;;;;;;;
brix;Brix;mame0.37b5;zzyzzyxx;1982;Cinematronics + Advanced Microcomputer Systems;;;;;;0;;zzyzzyxx;;;;;;;
brutforc;Brute Force;mame0.37b5;;1991;Leland Corp.;;;;;;0;;;;;;;;;
